date,sales_quantity
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,4
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,2
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,3
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,2
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
